g0010	0.969	0.965
g0028	0.96	0.958
n0335	0.975	0.955
n0332	0.958	0.954
n0344	0.954	0.958
n0359	0.979	0.93
n0360	0.979	0.951
n0297	0.962	0.951
g0015	0.958	0.941
n0343	0.984	0.921
n0328	0.977	0.921
n0302	0.933	0.946
n0311	0.96	0.932
n0312	0.961	0.925
n0315	0.976	0.947
n0129	0.914	0.919
n0292	0.945	0.928
n0310	0.959	0.901
n0144	0.893	0.959
n0336	0.966	0.923
n0330	0.971	0.896
n0304	0.927	0.924
n0262	0.96	0.924
n0287	0.969	0.897
n0286	0.939	0.914
n0268	0.984	0.914
n0295	0.966	0.89
n0298	0.956	0.906
n0319	0.952	0.902
n0322	0.958	0.909
n0294	0.965	0.868
n0288	0.936	0.891
n0276	0.934	0.887
n0278	0.921	0.897
n0356	0.957	0.891
n0307	0.944	0.893
n0271	0.936	0.869
n0341	0.937	0.877
n0267	0.907	0.89
n0263	0.895	0.854
